id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency
437,mister,"[78,35,8,29,18,10,38]","[""ˈ"",""m"",""ɪ"",""s"",""t"",""ə"",""r""]",0,,
438,mix,"[35,8,19,29]","[""m"",""ɪ"",""k"",""s""]",0,,
439,moon,"[35,3,36]","[""m"",""u"",""n""]",0,,
441,mud,"[35,6,21]","[""m"",""ʌ"",""d""]",0,,
185,music,"[78,35,40,3,30,8,19]","[""ˈ"",""m"",""j"",""u"",""z"",""ɪ"",""k""]",0,NOUN,
442,nail,"[36,7,8,34]","[""n"",""ɛ"",""ɪ"",""l""]",0,NOUN,
443,nap,"[36,5,17]","[""n"",""æ"",""p""]",0,VERB,
445,nest,"[36,7,29,18]","[""n"",""ɛ"",""s"",""t""]",0,NOUN,
10,nine,"[36,1,8,36]","[""n"",""ɑ"",""ɪ"",""n""]",0,,
685,nineteen,[],[],0,,
630,object,"[78,1,20,21,32,7,19,18]","[""ˈ"",""ɑ"",""b"",""d"",""ʒ"",""ɛ"",""k"",""t""]",0,NOUN,
654,orange,"[78,2,38,10,36,24]","[""ˈ"",""ɔ"",""r"",""ə"",""n"",""dʒ""]",0,ADJECTIVE,
661,owl,"[12,34]","[""aʊ"",""l""]",0,NOUN,
447,pack,"[17,5,19]","[""p"",""æ"",""k""]",0,NOUN,
449,pan,"[17,5,36]","[""p"",""æ"",""n""]",0,NOUN,
452,pen,"[17,7,36]","[""p"",""ɛ"",""n""]",0,NOUN,
656,"penguin ","[78,17,7,37,22,39,7,36]","[""ˈ"",""p"",""ɛ"",""ŋ"",""g"",""w"",""ɛ"",""n""]",0,NOUN,
453,pet,"[17,7,18]","[""p"",""ɛ"",""t""]",0,NOUN,
454,pie,[],[],0,NOUN,
